CUSTOM_ACTIVITY_NAME,OUTCOME_COUNT
2) Prospecting Follow Up,1
0) Pipeline Update,1
New Referral Generated,1
Referral Ask,1
11) Post-Sale Activity,1
12) Onboarding Complete,1
14) Backend Sale,1
4) Triage Call Follow Up,1
6) Strategy Call Follow Up,1
8) New Sale [Custom Payment Plan],1
Fathom Call,1
13) New Deposit,1
15) Refund Request Initiated,1
Backend Sale Pitch,1
Payment Transaction,1
3) Triage Call,1
9) Additional Cash Collected,1
Lead Fi,1
Refund Decision,1
10) Call Confirmation Activity,1
7) New Sale,1
Slack User Removal,1
1) Prospecting Activity,1
Setter Hand Off Notes,1
5) Strategy Call,1
